Year,State,Life Expectancy,Air Quality Index,Binge Drinking,Completed High SchoolPercent,Bachelor's degree or more Percent,Median Income,Health care coverage pct,Physical Activity Percentage,Smoking
2000,Alabama,74.36476303,56.97578125,11.6,77.5,20.4,"35,424",83.9,70.3,23.5
2000,Alaska,76.39183851,30.65599343,17.9,90.4,28.1,"52,847",81.9,76.5,27.3
2000,Arizona,77.26941158,55.95226395,8.8,85.1,24.6,"39,783",82.9,48.7,20.1
2000,Arkansas,74.87234217,49.00754603,9.9,81.7,18.4,"29,697",82.8,64.1,27.2
2000,California,78.13866416,61.82846833,15.4,81.2,27.5,"46,816",81.6,74.5,18.7
2000,Colorado,78.15883283,38.30242251,16.6,89.7,34.6,"48,240",86.5,78.7,22.5
2000,Connecticut,78.26251373,48.38687036,14.6,88.2,31.6,"50,172",90.8,72.8,22.8
2000,Delaware,76.21100784,62.033954,16.1,86.1,24,"50,365",91.8,64.6,25.4
2000,District of Columbia,72.03139985,58,12.5,83.2,38.3,"41,222",88.5,61.5,20.6
2000,Florida,77.24787008,48.42237737,12.9,84,22.8,"38,856",82.9,68.9,20.6
2000,Georgia,74.98355696,54.41532955,11.1,82.6,23.1,"41,901",85.1,70.4,23.7
2000,Hawaii,79.53165869,31.60412926,15.7,87.4,26.3,"51,546",93,82,18.5
2000,Idaho,77.84575379,35.24718563,14.8,86.2,20,"37,611",82.9,79.6,21.5
2000,Illinois,76.54317505,45.88565685,18.1,85.5,27.1,"46,064",89.1,72.9,24.2
2000,Indiana,75.97794663,48.47219636,16.4,84.6,17.1,"40,865",89.6,72.9,27
2000,Iowa,78.31316184,41.90405117,18.1,89.7,25.5,"40,991",91.1,73.3,23.5
2000,Kansas,77.23601603,45.64185111,12.3,88.1,27.3,"41,059",89.3,61.7,21
2000,Kentucky,75.01190281,51.31555295,9.7,78.7,20.5,"36,265",85.9,57.4,29.7
2000,Louisiana,74.08388791,53.24800896,15.1,80.8,22.5,"30,718",78.1,67.8,23.5
2000,Maine,77.41006132,30.861167,14.3,89.3,24.1,"37,266",86.4,72.3,23.3
2000,Maryland,76.1189365,53.34905429,12.7,85.7,32.3,"54,535",90.1,79.7,20.3
